time/total_timesteps,eval/mean_ep_length,eval/success_rate,eval/mean_reward,rollout/success_rate,time/fps,time/time_elapsed,time/iterations
200,733.9,0.1,-1378.762861211598,,,,
256,,,,1.0,5,49,1
